Id,Championnat,Lien,Valeur,Id_Pays
1,Premier League,https://www.transfermarkt.fr/premier-league/startseite/wettbewerb/GB1,12770000000,4
2,LaLiga,https://www.transfermarkt.fr/laliga/startseite/wettbewerb/ES1,5570000000,15
3,Serie A,https://www.transfermarkt.fr/serie-a/startseite/wettbewerb/IT1,5430000000,27
4,Bundesliga,https://www.transfermarkt.fr/bundesliga/startseite/wettbewerb/L1,4660000000,2
5,Ligue 1,https://www.transfermarkt.fr/ligue-1/startseite/wettbewerb/FR1,3640000000,18
12,Championship,https://www.transfermarkt.fr/championship/startseite/wettbewerb/GB2,1930000000,4
10,Série A,https://www.transfermarkt.fr/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,1820000000,88
6,Liga Portugal,https://www.transfermarkt.fr/liga-portugal/startseite/wettbewerb/PO1,1770000000,40
9,MLS,https://www.transfermarkt.fr/major-league-soccer/startseite/wettbewerb/MLS1,1360000000,95
8,Süper Lig,https://www.transfermarkt.fr/super-lig/startseite/wettbewerb/TR1,1330000000,50
7,Eredivisie,https://www.transfermarkt.fr/eredivisie/startseite/wettbewerb/NL1,1210000000,37
11,Saudi Pro League,https://www.transfermarkt.fr/saudi-pro-league/startseite/wettbewerb/SA1,1140000000,53
13,Premier Liga,https://www.transfermarkt.fr/premier-liga/startseite/wettbewerb/RU1,1050000000,43
14,Torneo Apertura,https://www.transfermarkt.fr/torneo-apertura/startseite/wettbewerb/ARG1,989700000,86
15,Torneo Clausura,https://www.transfermarkt.fr/torneo-clausura/startseite/wettbewerb/ARGC,989700000,86
16,Jupiler Pro League,https://www.transfermarkt.fr/jupiler-pro-league/startseite/wettbewerb/BE1,949630000,7
17,Liga MX Clausura,https://www.transfermarkt.fr/liga-mx-clausura/startseite/wettbewerb/MEX1,902980000,99
18,Liga MX Apertura,https://www.transfermarkt.fr/liga-mx-apertura/startseite/wettbewerb/MEXA,902980000,99
19,Super League 1,https://www.transfermarkt.fr/super-league-1/startseite/wettbewerb/GR1,523850000,21
20,Serie B,https://www.transfermarkt.fr/serie-b/startseite/wettbewerb/IT2,504150000,27
21,2. Bundesliga,https://www.transfermarkt.fr/2-bundesliga/startseite/wettbewerb/L2,498200000,2
22,LaLiga2,https://www.transfermarkt.fr/laliga2/startseite/wettbewerb/ES2,491100000,15
23,Stars League,https://www.transfermarkt.fr/qatar-stars-league/startseite/wettbewerb/QSL,405480000,54
24,Super League,https://www.transfermarkt.fr/super-league/startseite/wettbewerb/C1,394280000,48
25,Premier Liga,https://www.transfermarkt.fr/premier-liga/startseite/wettbewerb/UKR1,391400000,51
26,UAE Pro League,https://www.transfermarkt.fr/uae-pro-league/startseite/wettbewerb/UAE1,382280000,55
27,Chance Liga,https://www.transfermarkt.fr/chance-liga/startseite/wettbewerb/TS1,376740000,41
28,Bundesliga,https://www.transfermarkt.fr/bundesliga/startseite/wettbewerb/A1,375010000,5
29,Ekstraklasa,https://www.transfermarkt.fr/pko-bp-ekstraklasa/startseite/wettbewerb/PL1,367130000,39
30,Premiership,https://www.transfermarkt.fr/scottish-premiership/startseite/wettbewerb/SC1,353320000,14
31,Superliga,https://www.transfermarkt.fr/superliga/startseite/wettbewerb/DK1,340000000,13
32,Ligue 2,https://www.transfermarkt.fr/ligue-2/startseite/wettbewerb/FR2,323930000,18
33,Eliteserien,https://www.transfermarkt.fr/eliteserien/startseite/wettbewerb/NO1,304430000,36
34,J1 League,https://www.transfermarkt.fr/j1-league/startseite/wettbewerb/JAP1,302380000,56
35,League One,https://www.transfermarkt.fr/league-one/startseite/wettbewerb/GB3,290780000,4
36,Super liga Srbije,https://www.transfermarkt.fr/super-liga-srbije/startseite/wettbewerb/SER1,264180000,44
37,Allsvenskan,https://www.transfermarkt.fr/allsvenskan/startseite/wettbewerb/SE1,259149999,49
38,SuperLiga,https://www.transfermarkt.fr/superliga/startseite/wettbewerb/RO1,256709999,45
39,Série B,https://www.transfermarkt.fr/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,231630000,88
40,SuperSport HNL,https://www.transfermarkt.fr/supersport-hnl/startseite/wettbewerb/KR1,221770000,12
41,Liga DIMAYOR II,https://www.transfermarkt.fr/liga-dimayor-finalizacion/startseite/wettbewerb/COL1,200100000,91
42,Liga DIMAYOR I,https://www.transfermarkt.fr/liga-dimayor-apertura/startseite/wettbewerb/COLP,200100000,91
43,efbet Liga,https://www.transfermarkt.fr/efbet-liga/startseite/wettbewerb/BU1,192750000,10
44,Liga Primera,https://www.transfermarkt.fr/liga-de-primera/startseite/wettbewerb/CLPD,176620000,90
45,Liga AUF Apertura,https://www.transfermarkt.fr/liga-auf-apertura/startseite/wettbewerb/URU1,167940000,105
46,Liga AUF Clausura,https://www.transfermarkt.fr/liga-auf-clausura/startseite/wettbewerb/URUC,167940000,105
47,Liga AUF Intermedio,https://www.transfermarkt.fr/liga-auf-intermedio/startseite/wettbewerb/URUI,167940000,105
